tree_ID,location,ecotr_id,tree_id,species,climate,Bulk Density,Infiltration,Soil Porosity,Soil Depth,Water Holding Capacity,Soil Nitrate,Soil pH,Phosphorus,Potassium,Earthworms,Microbial Biomass C,Microbial Biomass N,Particulate Organic Matter,Mineralizable N,Soil Enzymes,Soil Respiration,Total Organic Carbon,pears
BE_4_20,BE,4,20,Doyenne,Scenario 4,0.99,17.82,54.5,82.99,30.57,19.77,6.43,33.65,177.5,68.15,218.33,8.99,0.96,10.24,1.42,52.45,1.76,11
BE_4_21,BE,4,21,Conference,Scenario 4,0.95,12.9,61.61,82.27,25.33,20.57,6.41,24.57,159.1,49.44,342.96,24.21,3.29,11.39,1.52,61.96,2.55,26
BE_4_22,BE,4,22,Doyenne,Scenario 4,1.16,5.01,43.33,73.98,22.39,15.51,6.35,28.7,166.31,72.78,213.63,16.01,2.13,7.13,1.7,52.89,2.05,22
BE_4_23,BE,4,23,Conference,Scenario 4,1.13,13.12,56.59,81.9,31.94,16.56,6.59,31.98,164.59,54.91,254.61,15.55,1.85,10.74,0.92,57.85,1.89,25
BE_4_24,BE,4,24,Doyenne,Scenario 4,1.12,9.69,47.44,78.48,23.04,17.91,6.02,28.71,207.29,57.3,259.39,17.1,4.13,8.87,1.46,53.29,1.59,21
BE_5_25,BE,5,25,Conference,Scenario 1,1.75,9.88,43.74,85.1,36.55,17.27,5.97,35.79,164.33,34.25,218.99,14.05,2.09,11.14,2.42,57.98,2.25,10
BE_5_26,BE,5,26,Doyenne,Scenario 1,1.46,6.41,52.94,83.03,29.97,17.18,6.58,37.11,106.73,53.15,260.51,11.09,3.34,13.99,1.84,36.15,2.06,16
BE_5_27,BE,5,27,Conference,Scenario 1,1.7,7.65,43.4,85.5,31.09,21.0,6.11,12.09,249.82,63.78,216.34,15.86,1.82,10.31,1.44,54.23,1.99,23
BE_5_28,BE,5,28,Doyenne,Scenario 1,1.49,12.3,49.35,87.54,35.87,23.88,6.86,34.26,198.43,63.87,162.14,14.06,1.56,15.53,2.88,41.99,1.6,20
BE_5_29,BE,5,29,Conference,Scenario 1,0.98,17.88,72.25,85.59,31.17,20.54,6.29,23.95,121.64,40.7,174.62,8.03,1.83,10.02,1.49,38.11,1.46,15
BE_5_30,BE,5,30,Doyenne,Scenario 1,1.23,13.55,62.67,87.62,31.9,23.23,6.89,21.56,131.02,46.27,173.76,9.14,2.45,8.58,1.05,48.4,1.43,17
BE_6_31,BE,6,31,Conference,Scenario 2,1.17,10.71,44.23,75.34,28.38,18.53,6.52,27.02,152.96,62.92,261.63,13.66,3.24,11.4,1.6,59.71,2.83,40
BE_6_32,BE,6,32,Doyenne,Scenario 2,1.33,9.92,67.76,84.64,39.46,14.19,6.3,39.19,201.51,91.31,209.82,15.02,1.66,13.45,2.12,51.52,2.64,29
BE_6_33,BE,6,33,Conference,Scenario 2,1.4,12.0,53.94,84.62,36.57,17.0,6.4,32.65,177.5,65.41,200.07,14.78,2.43,8.07,1.24,39.55,2.54,37
BE_6_34,BE,6,34,Doyenne,Scenario 2,1.31,8.05,36.47,72.1,31.0,12.53,6.7,33.41,162.34,59.45,207.66,7.87,1.3,12.72,1.31,47.0,2.15,27
BE_6_35,BE,6,35,Conference,Scenario 2,1.42,4.6,47.97,75.63,29.45,19.91,5.84,42.6,149.86,58.18,188.15,15.43,2.86,10.83,2.01,41.89,2.29,22
BE_6_36,BE,6,36,Doyenne,Scenario 2,1.25,9.98,51.07,77.89,36.69,15.51,7.05,38.08,88.03,90.87,131.0,8.25,1.17,9.29,2.0,46.16,1.7,34
BE_7_37,BE,7,37,Conference,Scenario 3,1.15,12.06,62.58,85.67,26.23,17.8,6.53,30.57,76.32,36.15,225.77,20.94,2.93,10.73,0.55,45.77,2.43,30
BE_7_38,BE,7,38,Doyenne,Scenario 3,1.21,8.17,61.85,79.59,32.83,17.61,6.7,37.99,172.72,48.28,238.23,18.13,2.52,10.24,1.28,51.47,2.4,23
BE_7_39,BE,7,39,Conference,Scenario 3,1.28,8.83,65.78,80.2,32.57,15.81,5.9,31.55,146.2,36.33,186.85,9.34,3.6,6.57,1.44,41.3,1.84,21
BE_7_40,BE,7,40,Doyenne,Scenario 3,1.47,13.26,63.8,84.12,46.57,17.03,6.43,51.24,160.4,78.49,177.79,12.31,4.7,11.23,1.57,43.73,1.45,21
BE_7_41,BE,7,41,Conference,Scenario 3,1.24,12.37,60.52,83.47,31.19,11.02,6.34,24.53,88.18,44.27,198.3,17.06,2.27,7.4,1.26,43.85,1.99,17
BE_7_42,BE,7,42,Doyenne,Scenario 3,1.27,10.08,59.65,80.93,34.14,12.66,6.5,40.46,138.86,59.83,128.62,5.36,3.02,13.37,1.91,30.76,1.03,28
BE_8_43,BE,8,43,Conference,Scenario 4,1.15,8.39,46.93,76.38,26.75,11.08,6.18,32.99,172.9,46.19,106.49,3.94,1.18,10.61,1.21,37.62,0.91,26
BE_8_44,BE,8,44,Doyenne,Scenario 4,1.05,9.24,47.42,72.61,27.66,12.57,6.3,16.51,195.95,45.14,200.87,8.2,3.34,9.61,1.39,49.12,0.97,19
BE_8_45,BE,8,45,Conference,Scenario 4,1.3,9.48,56.57,85.78,33.26,13.69,6.43,15.12,258.62,67.18,182.1,15.35,3.31,7.44,1.37,59.12,2.22,14
BE_8_46,BE,8,46,Doyenne,Scenario 4,1.19,9.45,47.08,79.9,27.43,16.61,6.01,34.83,232.05,67.43,197.77,14.31,1.6,9.5,1.96,63.55,1.99,21
BE_8_47,BE,8,47,Conference,Scenario 4,1.42,9.0,40.56,83.89,32.54,8.15,6.86,11.51,170.45,69.66,188.23,15.83,1.46,5.97,2.04,59.85,2.79,16
BE_8_48,BE,8,48,Doyenne,Scenario 4,1.17,6.52,43.64,76.23,25.83,16.02,6.61,26.74,154.14,38.25,218.06,14.48,2.67,7.58,2.09,53.5,1.69,14
FR_9_49,FR,9,49,Conference,Scenario 1,1.67,8.2,32.9,86.2,35.78,21.78,6.67,9.08,136.2,40.98,164.38,17.51,2.73,7.32,1.17,58.49,1.92,18
FR_9_50,FR,9,50,Doyenne,Scenario 1,1.52,4.17,32.02,78.71,30.43,0.67,6.57,3.68,63.57,37.33,166.09,9.1,2.14,5.64,1.49,46.09,1.58,8
FR_9_51,FR,9,51,Conference,Scenario 1,1.92,11.96,52.59,99.45,47.4,13.13,6.07,21.39,155.97,45.1,164.36,14.97,2.87,9.0,1.57,54.38,2.23,16
FR_9_52,FR,9,52,Doyenne,Scenario 1,1.35,7.59,43.64,80.29,33.22,22.2,6.32,36.96,190.68,31.69,184.15,11.67,4.04,13.95,0.87,38.92,1.43,18
FR_9_53,FR,9,53,Conference,Scenario 1,1.42,3.7,32.51,75.48,27.94,16.07,6.58,25.09,90.32,32.73,106.14,4.59,2.62,14.74,0.2,40.05,1.86,20
FR_9_54,FR,9,54,Doyenne,Scenario 1,1.43,10.46,36.2,87.15,31.73,18.55,6.68,21.71,169.48,27.42,181.33,16.02,2.65,8.2,1.04,51.34,2.16,14
FR_10_55,FR,10,55,Conference,Scenario 2,1.67,14.05,55.83,93.49,39.42,16.49,6.11,25.99,196.2,55.07,158.54,5.75,1.16,10.44,1.18,37.95,1.5,17
FR_10_56,FR,10,56,Doyenne,Scenario 2,1.28,12.46,48.62,82.29,29.25,16.47,6.11,31.22,203.37,59.94,268.74,17.58,3.34,10.91,1.69,59.62,3.01,21
FR_10_57,FR,10,57,Conference,Scenario 2,0.81,10.9,44.13,69.41,18.56,3.72,6.44,11.88,97.2,57.3,224.44,11.63,3.15,3.24,1.67,51.3,1.59,25
FR_10_58,FR,10,58,Doyenne,Scenario 2,1.14,14.58,66.36,83.74,31.2,8.7,6.09,11.08,97.28,19.06,220.35,16.11,3.02,5.29,1.52,52.89,2.45,23
FR_10_59,FR,10,59,Conference,Scenario 2,1.58,13.93,58.85,92.95,39.86,21.28,6.64,21.59,166.12,50.87,184.7,16.37,3.05,12.3,1.42,49.12,2.04,21
FR_10_60,FR,10,60,Doyenne,Scenario 2,1.49,11.76,58.26,92.07,34.42,17.8,6.29,45.0,219.31,23.23,273.9,20.51,3.77,11.91,2.14,60.82,2.9,21
FR_11_61,FR,11,61,Conference,Scenario 3,1.0,10.34,45.98,72.74,22.32,17.4,6.41,24.37,237.12,63.66,216.5,17.59,1.29,10.48,0.6,51.76,2.42,13
FR_11_62,FR,11,62,Doyenne,Scenario 3,1.1,10.28,49.31,74.62,27.71,19.45,6.48,49.18,250.36,45.29,224.48,6.85,2.95,16.16,0.71,30.85,2.39,16
FR_11_63,FR,11,63,Conference,Scenario 3,1.24,9.41,47.75,79.07,27.68,14.59,6.76,25.1,157.13,55.26,260.69,17.26,2.52,7.76,1.37,57.8,2.87,18
FR_11_64,FR,11,64,Doyenne,Scenario 3,1.18,11.89,42.63,75.94,26.43,10.78,6.39,17.15,183.98,66.43,228.37,14.11,2.36,10.46,1.26,46.87,2.07,15
FR_11_65,FR,11,65,Conference,Scenario 3,1.36,12.79,52.65,84.94,35.98,21.2,6.87,44.99,221.45,42.35,247.74,18.32,1.65,11.76,0.89,47.63,3.45,16
FR_11_66,FR,11,66,Doyenne,Scenario 3,1.41,4.31,45.37,76.84,29.62,15.87,6.9,23.07,180.59,72.07,295.24,18.92,1.18,11.02,1.68,72.53,2.86,13
FR_12_67,FR,12,67,Conference,Scenario 4,1.19,7.79,30.96,76.26,27.77,11.78,6.76,39.39,183.0,61.1,160.66,1.33,0.18,14.24,1.69,35.9,1.89,16
FR_12_68,FR,12,68,Doyenne,Scenario 4,1.35,1.97,35.77,75.67,23.91,18.43,6.07,32.76,201.2,23.53,171.12,9.87,3.59,11.31,1.36,41.69,1.67,17
FR_12_69,FR,12,69,Conference,Scenario 4,1.09,9.95,52.92,84.46,29.21,8.5,6.74,25.89,175.51,18.6,315.68,24.68,3.7,7.88,1.11,67.04,3.28,15
FR_12_70,FR,12,70,Doyenne,Scenario 4,1.2,12.35,57.0,86.54,37.63,6.17,6.46,36.77,183.6,63.78,143.64,5.84,2.58,11.87,2.05,45.52,1.73,12
FR_12_71,FR,12,71,Conference,Scenario 4,1.74,8.84,47.63,92.5,40.78,8.33,6.02,36.26,214.38,40.55,265.25,22.69,1.57,12.84,1.97,58.69,2.78,16
FR_12_72,FR,12,72,Doyenne,Scenario 4,1.18,11.81,62.71,89.87,33.53,9.91,6.54,14.02,152.84,45.94,206.17,10.85,1.52,9.25,0.96,48.18,1.5,11
FR_13_73,FR,13,73,Conference,Scenario 1,1.43,6.66,37.49,79.61,27.87,14.75,6.26,33.66,229.22,26.54,124.61,6.81,1.91,13.74,1.36,37.53,1.07,14
FR_13_74,FR,13,74,Doyenne,Scenario 1,1.32,-0.45,31.82,66.16,25.38,16.55,6.5,27.51,209.6,67.96,237.58,14.39,0.7,14.82,2.11,51.67,2.25,14
FR_13_75,FR,13,75,Conference,Scenario 1,1.36,7.9,45.57,81.43,31.7,14.33,6.82,31.64,67.34,33.94,221.38,13.49,2.11,5.88,2.19,44.92,1.56,13
FR_13_76,FR,13,76,Doyenne,Scenario 1,0.92,12.06,64.22,75.06,32.46,15.11,6.41,14.0,168.74,23.82,221.62,17.21,3.71,8.0,1.79,55.59,1.9,15
FR_13_77,FR,13,77,Conference,Scenario 1,1.59,4.87,34.88,82.39,26.52,13.01,6.07,32.92,181.33,41.78,308.46,22.35,3.0,11.76,1.04,53.7,2.39,14
FR_13_78,FR,13,78,Doyenne,Scenario 1,1.07,9.55,63.74,78.06,32.13,8.05,6.4,20.4,119.42,17.54,142.76,11.85,3.15,10.21,2.0,26.29,1.16,14
FR_14_79,FR,14,79,Conference,Scenario 2,1.13,8.73,59.47,76.0,24.82,9.33,6.29,12.06,136.42,46.35,284.81,19.91,1.52,10.84,2.06,58.77,2.96,29
FR_14_80,FR,14,80,Doyenne,Scenario 2,1.35,12.07,65.19,85.0,32.78,6.45,6.32,22.55,34.47,35.75,170.22,4.6,0.92,4.43,1.71,30.91,1.85,20
FR_14_81,FR,14,81,Conference,Scenario 2,1.18,9.67,63.36,77.82,31.24,17.32,6.43,31.06,194.57,74.77,125.14,9.52,4.12,14.43,1.82,30.4,1.44,23
FR_14_82,FR,14,82,Doyenne,Scenario 2,0.87,14.91,77.53,79.09,31.42,16.44,6.32,31.03,142.93,53.12,244.15,17.01,1.15,9.78,2.27,58.07,3.59,19
FR_14_83,FR,14,83,Conference,Scenario 2,1.19,17.8,68.98,87.76,34.98,14.3,6.68,14.25,135.94,44.58,209.77,12.4,1.31,9.77,0.91,49.49,2.04,18
FR_14_84,FR,14,84,Doyenne,Scenario 2,1.16,15.25,65.36,81.16,37.66,19.97,6.9,23.04,169.26,64.66,201.97,12.83,3.46,10.96,1.86,37.21,1.69,15
FR_15_85,FR,15,85,Conference,Scenario 3,1.41,11.11,52.17,80.5,33.8,7.01,6.83,13.61,43.19,79.7,106.89,11.2,2.14,4.36,2.06,38.03,0.97,27
FR_15_86,FR,15,86,Doyenne,Scenario 3,1.15,15.14,62.53,80.62,33.85,13.86,6.54,34.67,123.13,68.64,201.75,22.41,2.62,8.59,1.53,55.61,1.65,20
FR_15_87,FR,15,87,Conference,Scenario 3,1.37,14.8,45.33,83.21,29.12,18.02,6.57,20.31,133.3,84.35,140.31,13.56,3.36,14.16,1.46,42.59,1.42,14
FR_15_88,FR,15,88,Doyenne,Scenario 3,1.7,12.77,45.93,86.72,35.75,22.25,6.66,15.62,126.89,35.73,161.06,16.24,0.92,10.06,1.56,52.77,1.27,17
FR_15_89,FR,15,89,Conference,Scenario 3,1.09,10.54,62.55,75.22,29.82,22.31,6.57,25.89,104.3,78.02,242.66,21.9,1.72,6.53,1.83,63.78,2.53,32
FR_15_90,FR,15,90,Doyenne,Scenario 3,1.24,11.93,54.69,80.63,27.99,14.83,6.21,31.64,193.28,66.01,170.65,18.02,2.16,11.6,1.84,56.07,1.82,15
FR_16_91,FR,16,91,Conference,Scenario 4,1.4,11.7,44.09,90.47,32.64,18.89,6.32,32.18,242.97,61.72,212.53,19.16,-0.25,14.7,1.73,66.01,2.96,15
FR_16_92,FR,16,92,Doyenne,Scenario 4,1.27,8.99,47.06,81.66,35.26,15.69,6.75,37.0,124.13,67.4,216.3,17.03,4.07,12.68,2.01,54.22,2.43,8
FR_16_93,FR,16,93,Conference,Scenario 4,1.07,17.44,67.15,94.48,37.81,13.1,6.84,34.33,71.85,66.61,242.93,17.65,4.56,11.6,2.07,49.61,2.53,16
FR_16_94,FR,16,94,Doyenne,Scenario 4,0.96,13.22,50.27,80.89,32.14,11.52,6.78,28.68,199.14,69.98,131.67,12.61,2.15,9.98,1.37,50.51,1.6,9
FR_16_95,FR,16,95,Conference,Scenario 4,0.8,12.39,47.25,76.92,23.69,10.62,6.53,22.59,128.22,56.8,236.49,15.17,2.03,8.33,1.39,62.92,1.9,11
FR_16_96,FR,16,96,Doyenne,Scenario 4,1.18,6.53,39.94,81.51,24.56,12.31,6.7,35.64,89.09,47.64,198.32,10.88,1.25,8.4,2.15,67.09,2.09,7
