species,climate,time,n_observed,n_scheduled,mean_size,retained_fraction
Doyenne,Scenario 2,10,20,22,5.142239901726317,0.9090909090909091
Doyenne,Scenario 2,11,20,22,5.379151597089515,0.9090909090909091
Doyenne,Scenario 2,12,20,22,5.698809755390337,0.9090909090909091
Doyenne,Scenario 2,13,19,22,5.995413077413191,0.8636363636363636
Doyenne,Scenario 2,14,19,22,6.227234355736509,0.8636363636363636
Doyenne,Scenario 2,15,19,22,6.526316793167355,0.8636363636363636
Doyenne,Scenario 2,16,19,22,6.8710633673188815,0.8636363636363636
Doyenne,Scenario 2,17,19,22,7.208970721727184,0.8636363636363636
Doyenne,Scenario 2,18,19,22,7.535210685480975,0.8636363636363636
Doyenne,Scenario 2,19,19,22,7.828120130814483,0.8636363636363636
Doyenne,Scenario 2,20,18,22,8.113369962348608,0.8181818181818182
Doyenne,Scenario 2,21,18,22,8.404430541840012,0.8181818181818182
Doyenne,Scenario 2,22,17,22,8.731696302002623,0.7727272727272727
Doyenne,Scenario 2,23,17,22,8.9878508045248,0.7727272727272727
Doyenne,Scenario 2,24,17,22,9.247564635418211,0.7727272727272727
Doyenne,Scenario 3,5,22,22,3.3343603634589285,1.0
Doyenne,Scenario 3,6,22,22,3.6677886096142447,1.0
Doyenne,Scenario 3,7,22,22,3.8961948994949775,1.0
Doyenne,Scenario 3,8,22,22,4.191150055126075,1.0
Doyenne,Scenario 3,9,22,22,4.47570436478899,1.0
Doyenne,Scenario 3,10,22,22,4.712363358370016,1.0
Doyenne,Scenario 3,11,22,22,4.912166380540962,1.0
Doyenne,Scenario 3,12,21,22,5.159150625980722,0.9545454545454546
Doyenne,Scenario 3,13,21,22,5.421392472624376,0.9545454545454546
Doyenne,Scenario 3,14,21,22,5.715430717354276,0.9545454545454546
Doyenne,Scenario 3,15,21,22,5.9340033425973315,0.9545454545454546
Doyenne,Scenario 3,16,21,22,6.207212429078507,0.9545454545454546
Doyenne,Scenario 3,17,21,22,6.443243079781845,0.9545454545454546
Doyenne,Scenario 3,18,20,22,6.654272205709766,0.9090909090909091
Doyenne,Scenario 3,19,20,22,6.984732063949403,0.9090909090909091
Doyenne,Scenario 3,20,20,22,7.2236595195024815,0.9090909090909091
Doyenne,Scenario 3,21,20,22,7.393273611406795,0.9090909090909091
Doyenne,Scenario 3,22,20,22,7.567265482467107,0.9090909090909091
Doyenne,Scenario 3,23,19,22,7.787926360634915,0.8636363636363636
Doyenne,Scenario 3,24,19,22,8.075942854662253,0.8636363636363636
Doyenne,Scenario 4,5,22,22,3.1191819191475036,1.0
Doyenne,Scenario 4,6,22,22,3.457773607795869,1.0
Doyenne,Scenario 4,7,22,22,3.773112356798616,1.0
Doyenne,Scenario 4,8,22,22,4.054209558795164,1.0
Doyenne,Scenario 4,9,22,22,4.314481429012071,1.0
Doyenne,Scenario 4,10,22,22,4.6385610905320265,1.0
Doyenne,Scenario 4,11,22,22,4.869583674028173,1.0
Doyenne,Scenario 4,12,22,22,5.059517842845114,1.0
Doyenne,Scenario 4,13,22,22,5.259052306409095,1.0
Doyenne,Scenario 4,14,22,22,5.449779037755423,1.0
Doyenne,Scenario 4,15,22,22,5.67446944071501,1.0
Doyenne,Scenario 4,16,22,22,5.867797243372666,1.0
Doyenne,Scenario 4,17,22,22,6.141358205248932,1.0
Doyenne,Scenario 4,18,22,22,6.439293059050363,1.0
Doyenne,Scenario 4,19,22,22,6.725455851216261,1.0
Doyenne,Scenario 4,20,22,22,6.873830832544488,1.0
Doyenne,Scenario 4,21,22,22,7.069322483924487,1.0
Doyenne,Scenario 4,22,22,22,7.351394791140769,1.0
Doyenne,Scenario 4,23,22,22,7.550855378567658,1.0
Doyenne,Scenario 4,24,22,22,7.750429933227989,1.0
